col_name,data_type,comment
BILL_ADJUSTMENTS_M2,"decimal(20,8)",Total amount of bill adjustments made in the second month
BILL_ADJUSTMENTS_M3,"decimal(20,8)",Total amount of bill adjustments made in the third month
BILL_ADJUSTMENTS_M4,"decimal(20,8)",Total amount of bill adjustments made in the fourth month
BILL_ADJUSTMENTS_M5,"decimal(20,8)",Total amount of bill adjustments made in the fifth month
BILL_ADJUSTMENTS_M6,"decimal(20,8)",Total amount of bill adjustments made in the sixth month
BILL_AMT_M1,"decimal(20,8)",Total bill amount for the first month
BILL_AMT_M2,"decimal(20,8)",Total bill amount for the second month
BILL_AMT_M3,"decimal(20,8)",Total bill amount for the third month
BILL_AMT_M4,"decimal(20,8)",Total bill amount for the fourth month
BILL_AMT_M5,"decimal(20,8)",Total bill amount for the fifth month
BILL_AMT_M6,"decimal(20,8)",Total bill amount for the sixth month
BILL_AMT_VAT_M1,"decimal(20,8)",Total bill amount including VAT for the first month
BILL_AMT_VAT_M2,"decimal(20,8)",Total bill amount including VAT for the second month
BILL_AMT_VAT_M3,"decimal(20,8)",Total bill amount including VAT for the third month
BILL_AMT_VAT_M4,"decimal(20,8)",Total bill amount including VAT for the fourth month
BILL_AMT_VAT_M5,"decimal(20,8)",Total bill amount including VAT for the fifth month
BILL_AMT_VAT_M6,"decimal(20,8)",Total bill amount including VAT for the sixth month
BILL_DUE_DATE_M1,date,Due date for the first bill in the past six months
BILL_DUE_DATE_M2,date,Due date for the second bill in the past six months
BILL_DUE_DATE_M3,date,Due date for the third bill in the past six months
BILL_DUE_DATE_M4,date,Due date for the fourth bill in the past six months
BILL_DUE_DATE_M5,date,Due date for the fifth bill in the past six months
BILL_DUE_DATE_M6,date,Due date for the sixth bill in the past six months
BILL_IMM_ADJ_M1,"decimal(20,8)",Total Immediate adjustment amount for the first bill in the past six months
BILL_IMM_ADJ_M2,"decimal(20,8)",Immediate adjustment amount for the second bill in the past six months
BILL_IMM_ADJ_M3,"decimal(20,8)",Immediate adjustment amount for the third bill in the past six months
BILL_IMM_ADJ_M4,"decimal(20,8)",Immediate adjustment amount for the forth bill in the past six months
BILL_IMM_ADJ_M5,"decimal(20,8)",Immediate adjustment amount for the fifth bill in the past six months
BILL_IMM_ADJ_M6,"decimal(20,8)",Immediate adjustment amount for the sixth bill in the past six months
